INFO 2024-12-01 16:19:42,430 autoreload Watching for file changes with StatReloader
DEBUG 2024-12-01 16:19:42,432 autoreload Waiting for apps ready_event.
DEBUG 2024-12-01 16:19:42,449 autoreload Apps ready_event triggered. Sending autoreload_started signal.
DEBUG 2024-12-01 16:19:42,469 autoreload Watching dir C:\Users\andon\Desktop\softuni\maistor-box\venv\Lib\site-packages\cloudinary\templates with glob **/*.
DEBUG 2024-12-01 16:19:42,469 autoreload Watching dir C:\Users\andon\Desktop\softuni\maistor-box\templates with glob **/*.
DEBUG 2024-12-01 16:19:42,469 autoreload Watching dir C:\Users\andon\Desktop\softuni\maistor-box\locale with glob **/*.mo.
DEBUG 2024-12-01 16:19:42,469 autoreload Watching dir C:\Users\andon\Desktop\softuni\maistor-box\maistorbox\common\locale with glob **/*.mo.
DEBUG 2024-12-01 16:19:42,494 autoreload Watching dir C:\Users\andon\Desktop\softuni\maistor-box\maistorbox\accounts\locale with glob **/*.mo.
DEBUG 2024-12-01 16:19:42,494 autoreload Watching dir C:\Users\andon\Desktop\softuni\maistor-box\venv\Lib\site-packages\cloudinary\locale with glob **/*.mo.
DEBUG 2024-12-01 16:19:42,494 autoreload Watching dir C:\Users\andon\Desktop\softuni\maistor-box\venv\Lib\site-packages\cloudinary_storage\locale with glob **/*.mo.
DEBUG 2024-12-01 16:19:42,494 autoreload Watching dir C:\Users\andon\Desktop\softuni\maistor-box\maistorbox\search_board\locale with glob **/*.mo.
DEBUG 2024-12-01 16:19:42,552 utils (0.015) 
            SELECT
                c.relname,
                CASE
                    WHEN c.relispartition THEN 'p'
                    WHEN c.relkind IN ('m', 'v') THEN 'v'
                    ELSE 't'
                END,
                obj_description(c.oid, 'pg_class')
            FROM pg_catalog.pg_class c
            LEFT JOIN pg_catalog.pg_namespace n ON n.oid = c.relnamespace
            WHERE c.relkind IN ('f', 'm', 'p', 'r', 'v')
                AND n.nspname NOT IN ('pg_catalog', 'pg_toast')
                AND pg_catalog.pg_table_is_visible(c.oid)
        ; args=None; alias=default
DEBUG 2024-12-01 16:19:42,556 utils (0.000) SELECT "django_migrations"."id", "django_migrations"."app", "django_migrations"."name", "django_migrations"."applied" FROM "django_migrations"; args=(); alias=default
DEBUG 2024-12-01 16:19:42,650 autoreload File C:\Users\andon\Desktop\softuni\maistor-box\venv\Lib\site-packages\django\contrib\sessions\base_session.py first seen with mtime 1730590522.9483016
DEBUG 2024-12-01 16:19:42,651 autoreload File C:\Users\andon\AppData\Local\Programs\Python\Python311\DLLs\_ctypes.pyd first seen with mtime 1712054600.0
DEBUG 2024-12-01 16:19:42,651 autoreload File C:\Users\andon\Desktop\softuni\maistor-box\venv\Lib\site-packages\django\utils\lorem_ipsum.py first seen with mtime 1730590523.4838107
DEBUG 2024-12-01 16:19:42,651 autoreload File C:\Users\andon\Desktop\softuni\maistor-box\venv\Lib\site-packages\psycopg2\_psycopg.cp311-win_amd64.pyd first seen with mtime 1730590520.6897433
DEBUG 2024-12-01 16:19:42,651 autoreload File C:\Users\andon\Desktop\softuni\maistor-box\venv\Lib\site-packages\urllib3\_request_methods.py first seen with mtime 1731422612.9646797
DEBUG 2024-12-01 16:19:42,651 autoreload File C:\Users\andon\Desktop\softuni\maistor-box\venv\Lib\site-packages\django\utils\hashable.py first seen with mtime 1730590523.4838107
DEBUG 2024-12-01 16:19:42,651 autoreload File C:\Users\andon\AppData\Local\Programs\Python\Python311\Lib\fnmatch.py first seen with mtime 1712054574.0
DEBUG 2024-12-01 16:19:42,651 autoreload File C:\Users\andon\Desktop\softuni\maistor-box\venv\Lib\site-packages\django\core\servers\basehttp.py first seen with mtime 1730590523.3310764
DEBUG 2024-12-01 16:19:42,651 autoreload File C:\Users\andon\AppData\Local\Programs\Python\Python311\Lib\zoneinfo\__init__.py first seen with mtime 1712054574.0
DEBUG 2024-12-01 16:19:42,651 autoreload File C:\Users\andon\Desktop\softuni\maistor-box\venv\Lib\site-packages\django\views\decorators\cache.py first seen with mtime 1730590523.5064423
DEBUG 2024-12-01 16:19:42,651 autoreload File C:\Users\andon\Desktop\softuni\maistor-box\venv\Lib\site-packages\cloudinary\api_client\call_api.py first seen with mtime 1731422613.5608919
DEBUG 2024-12-01 16:19:42,652 autoreload File C:\Users\andon\Desktop\softuni\maistor-box\venv\Lib\site-packages\django\core\files\uploadedfile.py first seen with mtime 1730590523.298869
DEBUG 2024-12-01 16:19:42,652 autoreload File C:\Users\andon\Desktop\softuni\maistor-box\venv\Lib\site-packages\django\template\smartif.py first seen with mtime 1730590523.4576895
